r,e
70.0,21.523866402079875
72.75862068965517,17.93146408955363
75.51724137931035,14.709517796371074
78.27586206896552,11.841635210432287
81.0344827586207,9.31375176248548
83.79310344827586,7.113427875934576
86.55172413793103,5.229365519226121
89.3103448275862,3.65105065467651
92.06896551724138,2.368468513908738
94.82758620689656,1.3718634674369241
97.58620689655173,0.6515291422692826
100.34482758620689,0.19762257374532055
103.10344827586206,0.0
105.86206896551724,0.04807578136387747
108.62068965517241,0.3307053613898461
111.37931034482759,0.8360931272472953
114.13793103448276,1.5517243054055143
116.89655172413794,2.4643154713048716
119.65517241379311,3.55977712564345
122.41379310344828,4.823177889302315
125.17241379310346,6.238702411363192
127.93103448275863,7.789598686300451
130.68965517241378,9.458118679707695
133.44827586206895,11.22546385480382
136.20689655172413,13.07175049054058
138.9655172413793,14.976008218058269
141.72413793103448,16.916221907937143
144.48275862068965,18.869421347808384
147.24137931034483,20.811821566530853
150.0,22.71901634668029
